name,National ?,Type,Species,Height,Weight,Abilities,Local ?,Japanese,EV yield,Catch rate,Base Happiness,Base EXP,Growth Rate,Egg Groups,Gender,Egg cycles,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,defenses,evolution_moves,levelup_moves,egg_moves,tutor_moves,tm_moves
Bulbasaur,001,Grass Poison ,Seed Pokémon,2?4? (0.71m),15.2 lbs (6.9 kg),OvergrowChlorophyll (hidden ability),001 (Red/Blue)226 (Gold/Silver)001 (FireRed/LeafGreen)231 (HeartGold/SoulSilver)080 (X/Y),Fushigidane,1 Special Attack ,"45 (5.9% with PokéBall, full HP)",70 (normal),64,Medium Slow,"Grass, Monster ","87.5% male, 12.5% female","20 (base 5,120 steps)",318,45,49,49,65,65,45,"OrderedDict([('Nor', ''), ('Fir', '2'), ('Wat', '½'), ('Ele', '½'), ('Gra', '¼'), ('Ice', '2'), ('Fig', '½'), ('Poi', ''), ('Gro', ''), ('Fly', '2'), ('Psy', '2'), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '½')])",OrderedDict(),"OrderedDict([('Tackle', '1'), ('Growl', '3'), ('Leech Seed', '7'), ('Vine Whip', '9'), ('Poison Powder', '13'), ('Sleep Powder', '13'), ('Take Down', '15'), ('Razor Leaf', '19'), ('Sweet Scent', '21'), ('Growth', '25'), ('Double-Edge', '27'), ('Worry Seed', '31'), ('Synthesis', '33'), ('Seed Bomb', '37')])","OrderedDict([('Amnesia', 'Psychic'), ('Charm', 'Fairy'), ('Curse', 'Ghost'), ('Endure', 'Normal'), ('Giga Drain', 'Grass'), ('Grass Whistle', 'Grass'), ('Grassy Terrain', 'Grass'), ('Ingrain', 'Grass'), ('Leaf Storm', 'Grass'), ('Magical Leaf', 'Grass'), ('Nature Power', 'Normal'), ('Petal Dance', 'Grass'), ('Power Whip', 'Grass'), ('Skull Bash', 'Normal'), ('Sludge', 'Poison')])","OrderedDict([('Bind', 'Normal'), ('Frenzy Plant', 'Grass'), ('Giga Drain', 'Grass'), ('Knock Off', 'Dark'), ('Seed Bomb', 'Grass'), ('Snore', 'Normal'), ('Synthesis', 'Grass'), ('Worry Seed', 'Grass')])","OrderedDict([('Work Up', '1'), ('Toxic', '6'), ('Venoshock', '9'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Light Screen', '16'), ('Protect', '17'), ('Safeguard', '20'), ('Frustration', '21'), ('Solar Beam', '22'), ('Return', '27'), ('Double Team', '32'), ('Sludge Bomb', '36'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Echoed Voice', '49'), ('Energy Ball', '53'), ('Swords Dance', '75'), ('Grass Knot', '86'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Nature Power', '96'), ('Confide', '100')])"
Ivysaur,002,Grass Poison ,Seed Pokémon,3?3? (0.99m),28.7 lbs (13.0 kg),OvergrowChlorophyll (hidden ability),002 (Red/Blue)227 (Gold/Silver)002 (FireRed/LeafGreen)232 (HeartGold/SoulSilver)081 (X/Y),Fushigisou,"1 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),141,Medium Slow,"Grass, Monster ","87.5% male, 12.5% female","20 (base 5,120 steps)",405,60,62,63,80,80,60,"OrderedDict([('Nor', ''), ('Fir', '2'), ('Wat', '½'), ('Ele', '½'), ('Gra', '¼'), ('Ice', '2'), ('Fig', '½'), ('Poi', ''), ('Gro', ''), ('Fly', '2'), ('Psy', '2'), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '½')])",OrderedDict(),"OrderedDict([('Growl', '3'), ('Leech Seed', '7'), ('Tackle', '1'), ('Vine Whip', '9'), ('Poison Powder', '13'), ('Sleep Powder', '13'), ('Take Down', '15'), ('Razor Leaf', '20'), ('Sweet Scent', '23'), ('Growth', '28'), ('Double-Edge', '31'), ('Worry Seed', '36'), ('Synthesis', '39'), ('Solar Beam', '44')])","OrderedDict([('Amnesia', 'Psychic'), ('Charm', 'Fairy'), ('Curse', 'Ghost'), ('Endure', 'Normal'), ('Giga Drain', 'Grass'), ('Grass Whistle', 'Grass'), ('Grassy Terrain', 'Grass'), ('Ingrain', 'Grass'), ('Leaf Storm', 'Grass'), ('Magical Leaf', 'Grass'), ('Nature Power', 'Normal'), ('Petal Dance', 'Grass'), ('Power Whip', 'Grass'), ('Skull Bash', 'Normal'), ('Sludge', 'Poison')])","OrderedDict([('Bind', 'Normal'), ('Frenzy Plant', 'Grass'), ('Giga Drain', 'Grass'), ('Knock Off', 'Dark'), ('Seed Bomb', 'Grass'), ('Snore', 'Normal'), ('Synthesis', 'Grass'), ('Worry Seed', 'Grass')])","OrderedDict([('Work Up', '1'), ('Toxic', '6'), ('Venoshock', '9'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Light Screen', '16'), ('Protect', '17'), ('Safeguard', '20'), ('Frustration', '21'), ('Solar Beam', '22'), ('Return', '27'), ('Double Team', '32'), ('Sludge Bomb', '36'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Echoed Voice', '49'), ('Energy Ball', '53'), ('Swords Dance', '75'), ('Grass Knot', '86'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Nature Power', '96'), ('Confide', '100')])"
Venusaur,003,Grass Poison ,Seed Pokémon,6?7? (2.01m),220.5 lbs (100.0 kg),OvergrowChlorophyll (hidden ability),003 (Red/Blue)228 (Gold/Silver)003 (FireRed/LeafGreen)233 (HeartGold/SoulSilver)082 (X/Y),Fushigibana,"2 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),208,Medium Slow,"Grass, Monster ","87.5% male, 12.5% female","20 (base 5,120 steps)",525,80,82,83,100,100,80,"OrderedDict([('Nor', ''), ('Fir', '2'), ('Wat', '½'), ('Ele', '½'), ('Gra', '¼'), ('Ice', '2'), ('Fig', '½'), ('Poi', ''), ('Gro', ''), ('Fly', '2'), ('Psy', '2'), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '½')])","OrderedDict([('Petal Dance', 'Grass')])","OrderedDict([('Growl', '3'), ('Leech Seed', '7'), ('Petal Dance', '1'), ('Tackle', '1'), ('Vine Whip', '9'), ('Poison Powder', '13'), ('Sleep Powder', '13'), ('Take Down', '15'), ('Razor Leaf', '20'), ('Sweet Scent', '23'), ('Growth', '28'), ('Double-Edge', '31'), ('Worry Seed', '39'), ('Synthesis', '45'), ('Petal Blizzard', '50'), ('Solar Beam', '53')])","OrderedDict([('Amnesia', 'Psychic'), ('Charm', 'Fairy'), ('Curse', 'Ghost'), ('Endure', 'Normal'), ('Giga Drain', 'Grass'), ('Grass Whistle', 'Grass'), ('Grassy Terrain', 'Grass'), ('Ingrain', 'Grass'), ('Leaf Storm', 'Grass'), ('Magical Leaf', 'Grass'), ('Nature Power', 'Normal'), ('Petal Dance', 'Grass'), ('Power Whip', 'Grass'), ('Skull Bash', 'Normal'), ('Sludge', 'Poison')])","OrderedDict([('Bind', 'Normal'), ('Block', 'Normal'), ('Frenzy Plant', 'Grass'), ('Giga Drain', 'Grass'), ('Grass Pledge', 'Grass'), ('Knock Off', 'Dark'), ('Outrage', 'Dragon'), ('Seed Bomb', 'Grass'), ('Snore', 'Normal'), ('Stomping Tantrum', 'Ground'), ('Synthesis', 'Grass'), ('Worry Seed', 'Grass')])","OrderedDict([('Work Up', '1'), ('Roar', '5'), ('Toxic', '6'), ('Venoshock', '9'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Hyper Beam', '15'), ('Light Screen', '16'), ('Protect', '17'), ('Safeguard', '20'), ('Frustration', '21'), ('Solar Beam', '22'), ('Earthquake', '26'), ('Return', '27'), ('Double Team', '32'), ('Sludge Bomb', '36'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Echoed Voice', '49'), ('Energy Ball', '53'), ('Giga Impact', '68'), ('Swords Dance', '75'), ('Bulldoze', '78'), ('Grass Knot', '86'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Nature Power', '96'), ('Confide', '100')])"
Charmander,004,Fire ,Lizard Pokémon,2?0? (0.61m),18.7 lbs (8.5 kg),BlazeSolar Power (hidden ability),004 (Red/Blue)229 (Gold/Silver)004 (FireRed/LeafGreen)234 (HeartGold/SoulSilver)083 (X/Y),Hitokage,1 Speed ,"45 (5.9% with PokéBall, full HP)",70 (normal),65,Medium Slow,"Dragon, Monster ","87.5% male, 12.5% female","20 (base 5,120 steps)",309,39,52,43,60,50,65,"OrderedDict([('Nor', ''), ('Fir', '½'), ('Wat', '2'), ('Ele', ''), ('Gra', '½'), ('Ice', '½'), ('Fig', ''), ('Poi', ''), ('Gro', '2'), ('Fly', ''), ('Psy', ''), ('Bug', '½'), ('Roc', '2'), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', '½'), ('Fai', '½')])",OrderedDict(),"OrderedDict([('Growl', '1'), ('Scratch', '1'), ('Ember', '7'), ('Smokescreen', '10'), ('Dragon Rage', '16'), ('Scary Face', '19'), ('Fire Fang', '25'), ('Flame Burst', '28'), ('Slash', '34'), ('Flamethrower', '37'), ('Fire Spin', '43'), ('Inferno', '46')])","OrderedDict([('Air Cutter', 'Flying'), ('Ancient Power', 'Rock'), ('Beat Up', 'Dark'), ('Belly Drum', 'Normal'), ('Bite', 'Dark'), ('Counter', 'Fighting'), ('Crunch', 'Dark'), ('Dragon Dance', 'Dragon'), ('Dragon Pulse', 'Dragon'), ('Dragon Rush', 'Dragon'), ('Flare Blitz', 'Fire'), ('Focus Punch', 'Fighting'), ('Metal Claw', 'Steel'), ('Outrage', 'Dragon')])","OrderedDict([('Blast Burn', 'Fire'), ('Dragon Pulse', 'Dragon'), ('Fire Punch', 'Fire'), ('Focus Punch', 'Fighting'), ('Heat Wave', 'Fire'), ('Iron Tail', 'Steel'), ('Snore', 'Normal'), ('Thunder Punch', 'Electric')])","OrderedDict([('Work Up', '1'), ('Dragon Claw', '2'), ('Toxic', '6'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Protect', '17'), ('Frustration', '21'), ('Return', '27'), ('Brick Break', '31'), ('Double Team', '32'), ('Flamethrower', '35'), ('Fire Blast', '38'), ('Rock Tomb', '39'), ('Aerial Ace', '40'), ('Facade', '42'), ('Flame Charge', '43'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Echoed Voice', '49'), ('Overheat', '50'), ('Fling', '56'), ('Will-O-Wisp', '61'), ('Shadow Claw', '65'), ('Swords Dance', '75'), ('Rock Slide', '80'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Confide', '100')])"
Charmeleon,005,Fire ,Flame Pokémon,3?7? (1.09m),41.9 lbs (19.0 kg),BlazeSolar Power (hidden ability),005 (Red/Blue)230 (Gold/Silver)005 (FireRed/LeafGreen)235 (HeartGold/SoulSilver)084 (X/Y),Rizado,"1 Special Attack, 1 Speed ","45 (5.9% with PokéBall, full HP)",70 (normal),142,Medium Slow,"Dragon, Monster ","87.5% male, 12.5% female","20 (base 5,120 steps)",405,58,64,58,80,65,80,"OrderedDict([('Nor', ''), ('Fir', '½'), ('Wat', '2'), ('Ele', ''), ('Gra', '½'), ('Ice', '½'), ('Fig', ''), ('Poi', ''), ('Gro', '2'), ('Fly', ''), ('Psy', ''), ('Bug', '½'), ('Roc', '2'), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', '½'), ('Fai', '½')])",OrderedDict(),"OrderedDict([('Ember', '7'), ('Growl', '1'), ('Scratch', '1'), ('Smokescreen', '10'), ('Dragon Rage', '17'), ('Scary Face', '21'), ('Fire Fang', '28'), ('Flame Burst', '32'), ('Slash', '39'), ('Flamethrower', '43'), ('Fire Spin', '50'), ('Inferno', '54')])","OrderedDict([('Air Cutter', 'Flying'), ('Ancient Power', 'Rock'), ('Beat Up', 'Dark'), ('Belly Drum', 'Normal'), ('Bite', 'Dark'), ('Counter', 'Fighting'), ('Crunch', 'Dark'), ('Dragon Dance', 'Dragon'), ('Dragon Pulse', 'Dragon'), ('Dragon Rush', 'Dragon'), ('Flare Blitz', 'Fire'), ('Focus Punch', 'Fighting'), ('Metal Claw', 'Steel'), ('Outrage', 'Dragon')])","OrderedDict([('Blast Burn', 'Fire'), ('Dragon Pulse', 'Dragon'), ('Fire Punch', 'Fire'), ('Focus Punch', 'Fighting'), ('Heat Wave', 'Fire'), ('Iron Tail', 'Steel'), ('Snore', 'Normal'), ('Thunder Punch', 'Electric')])","OrderedDict([('Work Up', '1'), ('Dragon Claw', '2'), ('Toxic', '6'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Protect', '17'), ('Frustration', '21'), ('Return', '27'), ('Brick Break', '31'), ('Double Team', '32'), ('Flamethrower', '35'), ('Fire Blast', '38'), ('Rock Tomb', '39'), ('Aerial Ace', '40'), ('Facade', '42'), ('Flame Charge', '43'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Echoed Voice', '49'), ('Overheat', '50'), ('Fling', '56'), ('Will-O-Wisp', '61'), ('Shadow Claw', '65'), ('Swords Dance', '75'), ('Rock Slide', '80'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Confide', '100')])"
Charizard,006,Fire Flying ,Flame Pokémon,5?7? (1.70m),199.5 lbs (90.5 kg),BlazeSolar Power (hidden ability),006 (Red/Blue)231 (Gold/Silver)006 (FireRed/LeafGreen)236 (HeartGold/SoulSilver)085 (X/Y),Rizadon,3 Special Attack ,"45 (5.9% with PokéBall, full HP)",70 (normal),209,Medium Slow,"Dragon, Monster ","87.5% male, 12.5% female","20 (base 5,120 steps)",534,78,84,78,109,85,100,"OrderedDict([('Nor', ''), ('Fir', '½'), ('Wat', '2'), ('Ele', '2'), ('Gra', '¼'), ('Ice', ''), ('Fig', '½'), ('Poi', ''), ('Gro', '0'), ('Fly', ''), ('Psy', ''), ('Bug', '¼'), ('Roc', '4'), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', '½'), ('Fai', '½')])","OrderedDict([('Wing Attack', 'Flying')])","OrderedDict([('Air Slash', '1'), ('Dragon Claw', '1'), ('Ember', '7'), ('Flare Blitz', '77'), ('Growl', '1'), ('Heat Wave', '71'), ('Scratch', '1'), ('Shadow Claw', '1'), ('Wing Attack', '1'), ('Smokescreen', '10'), ('Dragon Rage', '17'), ('Scary Face', '21'), ('Fire Fang', '28'), ('Flame Burst', '32'), ('Slash', '41'), ('Flamethrower', '47'), ('Fire Spin', '56'), ('Inferno', '62')])","OrderedDict([('Air Cutter', 'Flying'), ('Ancient Power', 'Rock'), ('Beat Up', 'Dark'), ('Belly Drum', 'Normal'), ('Bite', 'Dark'), ('Counter', 'Fighting'), ('Crunch', 'Dark'), ('Dragon Dance', 'Dragon'), ('Dragon Pulse', 'Dragon'), ('Dragon Rush', 'Dragon'), ('Flare Blitz', 'Fire'), ('Focus Punch', 'Fighting'), ('Metal Claw', 'Steel'), ('Outrage', 'Dragon')])","OrderedDict([('Blast Burn', 'Fire'), ('Defog', 'Flying'), ('Dragon Pulse', 'Dragon'), ('Fire Pledge', 'Fire'), ('Fire Punch', 'Fire'), ('Focus Punch', 'Fighting'), ('Heat Wave', 'Fire'), ('Iron Tail', 'Steel'), ('Outrage', 'Dragon'), ('Snore', 'Normal'), ('Tailwind', 'Flying'), ('Thunder Punch', 'Electric')])","OrderedDict([('Work Up', '1'), ('Dragon Claw', '2'), ('Roar', '5'), ('Toxic', '6'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Hyper Beam', '15'), ('Protect', '17'), ('Roost', '19'), ('Frustration', '21'), ('Solar Beam', '22'), ('Earthquake', '26'), ('Return', '27'), ('Brick Break', '31'), ('Double Team', '32'), ('Flamethrower', '35'), ('Fire Blast', '38'), ('Rock Tomb', '39'), ('Aerial Ace', '40'), ('Facade', '42'), ('Flame Charge', '43'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Echoed Voice', '49'), ('Overheat', '50'), ('Steel Wing', '51'), ('Focus Blast', '52'), ('Fling', '56'), ('Sky Drop', '58'), ('Brutal Swing', '59'), ('Will-O-Wisp', '61'), ('Shadow Claw', '65'), ('Giga Impact', '68'), ('Swords Dance', '75'), ('Fly', '76'), ('Bulldoze', '78'), ('Rock Slide', '80'), ('Dragon Tail', '82'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Confide', '100')])"
Squirtle,007,Water ,Tiny Turtle Pokémon,1?8? (0.51m),19.8 lbs (9.0 kg),TorrentRain Dish (hidden ability),007 (Red/Blue)232 (Gold/Silver)007 (FireRed/LeafGreen)237 (HeartGold/SoulSilver)086 (X/Y),Zenigame,1 Defense ,"45 (5.9% with PokéBall, full HP)",70 (normal),66,Medium Slow,"Monster, Water 1 ","87.5% male, 12.5% female","20 (base 5,120 steps)",314,44,48,65,50,64,43,"OrderedDict([('Nor', ''), ('Fir', '½'), ('Wat', '½'), ('Ele', '2'), ('Gra', '2'), ('Ice', '½'), ('Fig', ''), ('Poi', ''), ('Gro', ''), ('Fly', ''), ('Psy', ''), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', '½'), ('Fai', '')])",OrderedDict(),"OrderedDict([('Tackle', '1'), ('Tail Whip', '4'), ('Water Gun', '7'), ('Withdraw', '10'), ('Bubble', '13'), ('Bite', '16'), ('Rapid Spin', '19'), ('Protect', '22'), ('Water Pulse', '25'), ('Aqua Tail', '28'), ('Skull Bash', '31'), ('Iron Defense', '34'), ('Rain Dance', '37'), ('Hydro Pump', '40')])","OrderedDict([('Aqua Jet', 'Water'), ('Aqua Ring', 'Water'), ('Aura Sphere', 'Fighting'), ('Brine', 'Water'), ('Dragon Pulse', 'Dragon'), ('Fake Out', 'Normal'), ('Flail', 'Normal'), ('Foresight', 'Normal'), ('Haze', 'Ice'), ('Mirror Coat', 'Psychic'), ('Mist', 'Ice'), ('Mud Sport', 'Ground'), ('Muddy Water', 'Water'), ('Refresh', 'Normal'), ('Water Spout', 'Water'), ('Yawn', 'Normal')])","OrderedDict([('Aqua Tail', 'Water'), ('Dragon Pulse', 'Dragon'), ('Focus Punch', 'Fighting'), ('Hydro Cannon', 'Water'), ('Ice Punch', 'Ice'), ('Icy Wind', 'Ice'), ('Iron Defense', 'Steel'), ('Iron Tail', 'Steel'), ('Snore', 'Normal'), ('Water Pulse', 'Water'), ('Zen Headbutt', 'Psychic')])","OrderedDict([('Work Up', '1'), ('Toxic', '6'), ('Hail', '7'), ('Hidden Power', '10'), ('Ice Beam', '13'), ('Blizzard', '14'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Return', '27'), ('Brick Break', '31'), ('Double Team', '32'), ('Rock Tomb', '39'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Scald', '55'), ('Fling', '56'), ('Gyro Ball', '74'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Surf', '94'), ('Waterfall', '98'), ('Confide', '100')])"
Wartortle,008,Water ,Turtle Pokémon,3?3? (0.99m),49.6 lbs (22.5 kg),TorrentRain Dish (hidden ability),008 (Red/Blue)233 (Gold/Silver)008 (FireRed/LeafGreen)238 (HeartGold/SoulSilver)087 (X/Y),Kameru,"1 Defense, 1 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),143,Medium Slow,"Monster, Water 1 ","87.5% male, 12.5% female","20 (base 5,120 steps)",405,59,63,80,65,80,58,"OrderedDict([('Nor', ''), ('Fir', '½'), ('Wat', '½'), ('Ele', '2'), ('Gra', '2'), ('Ice', '½'), ('Fig', ''), ('Poi', ''), ('Gro', ''), ('Fly', ''), ('Psy', ''), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', '½'), ('Fai', '')])",OrderedDict(),"OrderedDict([('Tackle', '1'), ('Tail Whip', '4'), ('Water Gun', '7'), ('Withdraw', '10'), ('Bubble', '13'), ('Bite', '17'), ('Rapid Spin', '21'), ('Protect', '25'), ('Water Pulse', '29'), ('Aqua Tail', '33'), ('Skull Bash', '37'), ('Iron Defense', '41'), ('Rain Dance', '45'), ('Hydro Pump', '49')])","OrderedDict([('Aqua Jet', 'Water'), ('Aqua Ring', 'Water'), ('Aura Sphere', 'Fighting'), ('Brine', 'Water'), ('Dragon Pulse', 'Dragon'), ('Fake Out', 'Normal'), ('Flail', 'Normal'), ('Foresight', 'Normal'), ('Haze', 'Ice'), ('Mirror Coat', 'Psychic'), ('Mist', 'Ice'), ('Mud Sport', 'Ground'), ('Muddy Water', 'Water'), ('Refresh', 'Normal'), ('Water Spout', 'Water'), ('Yawn', 'Normal')])","OrderedDict([('Aqua Tail', 'Water'), ('Dragon Pulse', 'Dragon'), ('Focus Punch', 'Fighting'), ('Hydro Cannon', 'Water'), ('Ice Punch', 'Ice'), ('Icy Wind', 'Ice'), ('Iron Defense', 'Steel'), ('Iron Tail', 'Steel'), ('Snore', 'Normal'), ('Water Pulse', 'Water'), ('Zen Headbutt', 'Psychic')])","OrderedDict([('Work Up', '1'), ('Toxic', '6'), ('Hail', '7'), ('Hidden Power', '10'), ('Ice Beam', '13'), ('Blizzard', '14'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Return', '27'), ('Brick Break', '31'), ('Double Team', '32'), ('Rock Tomb', '39'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Scald', '55'), ('Fling', '56'), ('Gyro Ball', '74'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Surf', '94'), ('Waterfall', '98'), ('Confide', '100')])"
Blastoise,009,Water ,Shellfish Pokémon,5?3? (1.60m),188.5 lbs (85.5 kg),TorrentRain Dish (hidden ability),009 (Red/Blue)234 (Gold/Silver)009 (FireRed/LeafGreen)239 (HeartGold/SoulSilver)088 (X/Y),Kamekkusu,3 Special Defense ,"45 (5.9% with PokéBall, full HP)",70 (normal),210,Medium Slow,"Monster, Water 1 ","87.5% male, 12.5% female","20 (base 5,120 steps)",530,79,83,100,85,105,78,"OrderedDict([('Nor', ''), ('Fir', '½'), ('Wat', '½'), ('Ele', '2'), ('Gra', '2'), ('Ice', '½'), ('Fig', ''), ('Poi', ''), ('Gro', ''), ('Fly', ''), ('Psy', ''), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', '½'), ('Fai', '')])",OrderedDict(),"OrderedDict([('Flash Cannon', '1'), ('Tackle', '1'), ('Tail Whip', '4'), ('Water Gun', '7'), ('Withdraw', '10'), ('Bubble', '13'), ('Bite', '17'), ('Rapid Spin', '21'), ('Protect', '25'), ('Water Pulse', '29'), ('Aqua Tail', '33'), ('Skull Bash', '40'), ('Iron Defense', '47'), ('Rain Dance', '54'), ('Hydro Pump', '60')])","OrderedDict([('Aqua Jet', 'Water'), ('Aqua Ring', 'Water'), ('Aura Sphere', 'Fighting'), ('Brine', 'Water'), ('Dragon Pulse', 'Dragon'), ('Fake Out', 'Normal'), ('Flail', 'Normal'), ('Foresight', 'Normal'), ('Haze', 'Ice'), ('Mirror Coat', 'Psychic'), ('Mist', 'Ice'), ('Mud Sport', 'Ground'), ('Muddy Water', 'Water'), ('Refresh', 'Normal'), ('Water Spout', 'Water'), ('Yawn', 'Normal')])","OrderedDict([('Aqua Tail', 'Water'), ('Dragon Pulse', 'Dragon'), ('Focus Punch', 'Fighting'), ('Hydro Cannon', 'Water'), ('Ice Punch', 'Ice'), ('Icy Wind', 'Ice'), ('Iron Defense', 'Steel'), ('Iron Tail', 'Steel'), ('Liquidation', 'Water'), ('Outrage', 'Dragon'), ('Signal Beam', 'Bug'), ('Snore', 'Normal'), ('Water Pledge', 'Water'), ('Water Pulse', 'Water'), ('Zen Headbutt', 'Psychic')])","OrderedDict([('Work Up', '1'), ('Roar', '5'), ('Toxic', '6'), ('Hail', '7'), ('Hidden Power', '10'), ('Ice Beam', '13'), ('Blizzard', '14'), ('Hyper Beam', '15'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Smack Down', '23'), ('Earthquake', '26'), ('Return', '27'), ('Brick Break', '31'), ('Double Team', '32'), ('Rock Tomb', '39'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Focus Blast', '52'), ('Scald', '55'), ('Fling', '56'), ('Giga Impact', '68'), ('Gyro Ball', '74'), ('Bulldoze', '78'), ('Rock Slide', '80'), ('Dragon Tail', '82'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Flash Cannon', '91'), ('Surf', '94'), ('Dark Pulse', '97'), ('Waterfall', '98'), ('Confide', '100')])"
Caterpie,010,Bug ,Worm Pokémon,1?0? (0.30m),6.4 lbs (2.9 kg),Shield DustRun Away (hidden ability),010 (Red/Blue)024 (Gold/Silver)010 (FireRed/LeafGreen)024 (HeartGold/SoulSilver)023 (X/Y)017 (Sun/Moon)017 (Ultra Sun/Ultra Moon)017 (Ultra Sun/Ultra Moon)008 (Ultra Sun/Ultra Moon),Kyatapi,1 HP ,"255 (33.3% with PokéBall, full HP)",70 (normal),53,Medium Fast,Bug ,"50% male, 50% female","15 (base 3,840 steps)",195,45,30,35,20,20,45,"OrderedDict([('Nor', ''), ('Fir', '2'), ('Wat', ''), ('Ele', ''), ('Gra', '½'), ('Ice', ''), ('Fig', '½'), ('Poi', ''), ('Gro', '½'), ('Fly', '2'), ('Psy', ''), ('Bug', ''), ('Roc', '2'), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '')])",OrderedDict(),"OrderedDict([('String Shot', '1'), ('Tackle', '1'), ('Bug Bite', '9')])",OrderedDict(),"OrderedDict([('Bug Bite', 'Bug'), ('Electroweb', 'Electric'), ('Snore', 'Normal')])",OrderedDict()
